change,jaccard
0,1.3821656050955415
35,0.62321428571428572
5,1.1391737201438696
40,0.62976190476190474
10,0.98872248872248858
45,0.61339285714285718
15,0.91247053276756251
20,0.83787726358148906
25,0.642731524427953
30,0.60622119815668196
0,1.3821656050955415
35,0.64840695920241387
5,0.91662325433511882
40,0.51357531357531361
10,0.86563339820220553
45,0.34884559884559879
15,0.89248965320393903
20,0.74748572683355297
25,0.71931499872676341
30,0.62525636302232046
0,1.3821656050955415
35,0.48974867724867721
5,0.93465800865800863
40,0.2901785714285714
10,0.81647481306572212
45,0.125
15,0.6285747081201627
20,0.54309275793650791
25,0.48006573673240344
30,0.43960084033613445
0,1.3821656050955415
35,0.38479262672811054
5,0.89162041662041658
40,0.39066416040100249
10,0.68630330343813484
45,0.45317460317460312
15,0.53443756764069272
20,0.34834285100242546
25,0.34459930313588849
30,0.34459930313588849
0,1.3821656050955415
35,0.40409590409590407
5,1.048645320197044
40,0.36772486772486768
10,0.86661892029539089
45,0.44897959183673469
15,0.77028032942667091
20,0.6652364302364302
25,0.53544952071737772
30,0.50305194805194808
