core_number,missing_0,missing_2,missing_4,missing_6,missing_8,missing_10,missing_12,missing_14,missing_16,missing_18,missing_20,missing_22,missing_24,missing_26,missing_28,missing_30,missing_32,missing_34,missing_36,missing_38,missing_40,missing_42,missing_44,missing_46,missing_48
1,0,3.8888888888888888,12.699999999999999,28.699999999999999,51.799999999999997,78.5,116.0,153.69999999999999,200.0,248.90000000000001,3794.6999999999998,4086.5999999999999,4366.5,4594.3000000000002,4822.5,5015.8000000000002,5208.8999999999996,5362.6000000000004,5501.6999999999998,5617.8000000000002,5736.1000000000004,5821.3000000000002,5866.1000000000004,5907.8000000000002,5892.3000000000002
2,0,411.89999999999998,803.0,1179.5999999999999,1534.3,1901.0,2204.0999999999999,2497.9000000000001,2779.0999999999999,3059.4000000000001,11185.9,10805.6,10443.4,10086.0,9696.2999999999993,9266.0,8836.3999999999996,8379.8999999999996,7921.5,7477.6999999999998,6991.1000000000004,6554.6999999999998,6132.1000000000004,5692.1000000000004,5303.0
3,7971.0,7579.6000000000004,7215.0,6839.0,6483.8000000000002,6103.8000000000002,5753.3000000000002,5438.8999999999996,5073.5,4732.0,4427.5,4095.1999999999998,3764.8000000000002,3488.4000000000001,3222.3000000000002,2993.9000000000001,2745.0,2549.4000000000001,2360.5999999999999,2196.3000000000002,2050.0999999999999,1864.9000000000001,1682.5,1520.2,1357.4000000000001
4,2977.0,2839.0999999999999,2684.5999999999999,2551.5999999999999,2407.6999999999998,2262.0,2125.3000000000002,1961.5,1832.4000000000001,1670.5999999999999,1547.3,1444.0,1313.4000000000001,1170.9000000000001,1056.0999999999999,954.89999999999998,875.70000000000005,783.89999999999998,702.5,619.10000000000002,544.89999999999998,476.30000000000001,418.0,369.89999999999998,322.19999999999999
5,1193.0,1117.4000000000001,1045.0999999999999,952.10000000000002,877.39999999999998,807.60000000000002,733.0,662.60000000000002,609.39999999999998,546.39999999999998,484.80000000000001,431.39999999999998,391.0,350.39999999999998,304.80000000000001,278.60000000000002,236.09999999999999,208.09999999999999,185.59999999999999,161.80000000000001,136.90000000000001,124.09999999999999,109.59999999999999,88.799999999999997,71.0
6,479.0,426.60000000000002,380.39999999999998,349.10000000000002,307.10000000000002,264.89999999999998,248.09999999999999,224.40000000000001,194.69999999999999,180.0,157.0,139.19999999999999,119.40000000000001,107.59999999999999,93.5,96.0,90.200000000000003,81.700000000000003,69.0,55.0,48.799999999999997,44.299999999999997,39.375,38.75,35.0
7,123.0,116.90000000000001,113.0,94.200000000000003,83.099999999999994,80.599999999999994,75.400000000000006,68.099999999999994,64.299999999999997,66.799999999999997,62.0,58.299999999999997,51.700000000000003,45.600000000000001,45.700000000000003,32.25,29.375,30.0,26.375,23.125,23.285714285714285,17.5,18.666666666666668,17.75,18.666666666666668
8,57.0,49.799999999999997,48.5,48.600000000000001,46.899999999999999,44.100000000000001,39.799999999999997,33.399999999999999,30.800000000000001,24.899999999999999,31.199999999999999,35.333333333333336,38.666666666666664,34.666666666666664,27.444444444444443,30.5,24.0,19.625,20.428571428571427,17.833333333333332,16.399999999999999,21.0,15.25,12.5,12.0
9,35.0,34.200000000000003,26.100000000000001,37.399999999999999,35.100000000000001,31.100000000000001,27.100000000000001,34.299999999999997,39.299999999999997,30.199999999999999,25.0,27.0,25.5,29.0,25.25,17.666666666666668,17.666666666666668,17.666666666666668,12.5,12.0,13.0,0,0,0,0
10,43.0,44.200000000000003,45.299999999999997,39.875,34.0,35.25,35.375,38.200000000000003,31.333333333333332,31.333333333333332,30.666666666666668,21.5,21.0,13.5,13.0,0,0,0,0,0,0,0,0,0,0
